Sector90,NewTAZ_ID,f_area,SuperTAZ_1,Geo_1,Year_1,SFDU,MFDU,GQDU,SFDU_1a,MFDU_1a,GQDU_1a
44,4875,6436312,T27,4875,2045,435,0,0,348,0,0
44,4876,502513,T27,4876,2045,11,1,0,9,1,0
44,4877,778882,T27,4877,2045,0,251,0,0,201,0
44,4878,2454473,T27,4878,2045,156,480,0,125,384,0
44,4879,1323919,T27,4879,2045,100,0,0,80,0,0
44,4880,1994883,T27,4880,2045,220,0,0,176,0,0
44,4881,1891738,T27,4881,2045,262,0,0,210,0,0
44,4882,1568387,T27,4882,2045,168,0,0,134,0,0
44,4883,1515162,T27,4883,2045,198,0,0,158,0,0
44,4884,1146482,T27,4884,2045,11,0,0,9,0,0
44,4885,3164159,T27,4885,2045,0,0,0,0,0,0
44,4886,1594935,T27,4886,2045,191,0,0,153,0,0
44,4887,1587244,T27,4887,2045,123,0,0,98,0,0
44,4888,784770,T27,4888,2045,0,69,0,0,55,0
44,4889,480296,T27,4889,2045,69,0,0,55,0,0
44,4890,982538,T27,4890,2045,87,0,0,70,0,0
44,4891,780729,T27,4891,2045,40,0,0,32,0,0
44,4892,1002967,T27,4892,2045,152,0,0,122,0,0
44,4893,732076,T27,4893,2045,52,0,0,42,0,0
44,4894,750289,T27,4894,2045,67,0,0,54,0,0
44,4895,2470911,T27,4895,2045,366,0,0,293,0,0
44,4896,1912827,T27,4896,2045,260,0,0,208,0,0
44,4897,2752570,T27,4897,2045,398,0,0,318,0,0
44,4898,1184023,T27,4898,2045,71,0,0,57,0,0
44,4899,3257325,T27,4899,2045,0,248,0,0,198,0
44,4900,1058286,T27,4900,2045,49,0,0,39,0,0
44,4902,2976615,T27,4902,2045,405,0,0,324,0,0
44,4903,1353659,T27,4903,2045,92,0,0,74,0,0
44,4904,558054,T27,4904,2045,14,0,0,11,0,0
44,4905,266723,T27,4905,2045,0,0,0,0,0,0
44,4906,782867,T27,4906,2045,68,1,0,54,1,0
44,4907,660541,T27,4907,2045,0,72,0,0,58,0
44,4908,469538,T27,4908,2045,0,23,0,0,18,0
44,4912,1019507,T27,4912,2045,151,0,0,121,0,0
44,4913,1005026,T27,4913,2045,122,0,0,98,0,0
44,4914,2036726,T27,4914,2045,145,0,0,116,0,0
44,4915,859661,T27,4915,2045,36,10,0,29,8,0
44,4916,534782,T27,4916,2045,47,20,0,38,16,0
44,4917,494529,T27,4917,2045,67,0,0,54,0,0
44,4918,1087723,T27,4918,2045,115,0,0,92,0,0
44,4919,2023926,T27,4919,2045,227,0,0,182,0,0
44,4920,1988987,T27,4920,2045,224,0,0,179,0,0
44,4921,1521003,T27,4921,2045,164,15,0,131,12,0
44,4922,1581101,T27,4922,2045,175,12,0,140,10,0
44,4923,521960,T27,4923,2045,5,0,0,4,0,0
44,4924,527047,T27,4924,2045,0,0,0,0,0,0
44,4925,492022,T27,4925,2045,1,0,0,1,0,0
44,4926,515557,T27,4926,2045,0,0,0,0,0,0
44,4927,499457,T27,4927,2045,14,0,0,11,0,0
44,4928,500399,T27,4928,2045,1,0,0,1,0,0
44,4929,547971,T27,4929,2045,8,1,0,6,1,0
44,4930,564386,T27,4930,2045,14,0,0,11,0,0
44,4931,490932,T27,4931,2045,0,83,0,0,66,0
44,4932,487714,T27,4932,2045,0,0,0,0,0,0
44,4933,557006,T27,4933,2045,12,0,0,10,0,0
44,4934,542812,T27,4934,2045,13,0,0,10,0,0
44,4935,2502561,T27,4935,2045,17,0,0,14,0,0
44,4936,2158222,T27,4936,2045,64,10,0,51,8,0
44,4937,2618019,T27,4937,2045,131,0,0,105,0,0
44,4938,2152881,T27,4938,2045,147,192,0,118,154,0
44,4939,2161990,T27,4939,2045,164,0,0,131,0,0
44,4940,2147419,T27,4940,2045,55,0,0,44,0,0
44,4941,952807,T27,4941,2045,35,0,0,28,0,0
44,4942,2030337,T27,4942,2045,198,0,0,158,0,0
44,4943,518261,T27,4943,2045,78,0,0,62,0,0
44,4944,992270,T27,4944,2045,140,0,0,112,0,0
44,4945,780845,T27,4945,2045,89,0,0,71,0,0
44,4946,1534397,T27,4946,2045,157,0,0,126,0,0
44,4947,3021871,T27,4947,2045,445,0,0,356,0,0
44,4948,1017139,T27,4948,2045,100,12,0,80,10,0
44,4949,1004921,T27,4949,2045,140,0,0,112,0,0
44,4950,2470099,T27,4950,2045,226,152,0,181,122,0
44,4951,2908015,T27,4951,2045,287,9,0,230,7,0
44,4952,1001731,T27,4952,2045,49,0,0,39,0,0
44,4953,841210,T27,4953,2045,71,0,0,57,0,0
44,4954,1511056,T27,4954,2045,127,4,0,102,3,0
44,4955,1515736,T27,4955,2045,191,0,0,153,0,0
44,4956,519996,T27,4956,2045,82,0,0,66,0,0
44,4957,2157653,T27,4957,2045,114,0,0,91,0,0
44,4958,1999106,T27,4958,2045,63,0,0,50,0,0
44,4959,4076885,T27,4959,2045,362,0,0,290,0,0
44,4960,2952651,T27,4960,2045,413,0,0,330,0,0
44,4961,3095919,T27,4961,2045,380,60,0,304,48,0
44,4962,3035348,T27,4962,2045,399,0,0,319,0,0
44,4963,2018708,T27,4963,2045,251,0,0,201,0,0
44,4964,7019356,T27,4964,2045,232,75,0,186,60,0
44,4965,2467174,T27,4965,2045,319,0,0,255,0,0
44,4966,2711688,T27,4966,2045,338,0,0,270,0,0
44,4967,2772310,T27,4967,2045,251,0,0,201,0,0
44,4968,2034918,T27,4968,2045,279,7,0,223,6,0
44,4969,1683718,T27,4969,2045,142,0,0,114,0,0
44,4970,926201,T27,4970,2045,47,192,0,38,154,0
44,4971,712818,T27,4971,2045,77,0,0,62,0,0
44,4972,1515270,T27,4972,2045,73,0,0,58,0,0
44,4978,9182391,T27,4978,2045,21,58,0,17,46,0
44,4979,4187419,T27,4979,2045,25,0,0,20,0,0
44,4981,4743414,T27,4981,2045,0,0,0,0,0,0
44,4982,2445831,T27,4982,2045,5,0,0,4,0,0
44,4983,2432322,T27,4983,2045,3,0,0,2,0,0
44,4985,312926,T27,4985,2045,0,0,0,0,0,0
44,4986,281432,T27,4986,2045,0,0,0,0,0,0
44,4987,296397,T27,4987,2045,0,0,0,0,0,0
44,4988,277824,T27,4988,2045,0,0,0,0,0,0
44,4989,433259,T27,4989,2045,20,0,0,16,0,0
44,4998,4550533,T26,4998,2045,321,2,0,257,2,0
44,5000,2278568,T26,5000,2045,0,240,172,0,192,138
44,5001,2012867,T26,5001,2045,0,237,0,0,190,0
44,5002,3443646,T26,5002,2045,136,522,0,109,418,0
44,5003,2103163,T26,5003,2045,0,204,0,0,163,0
44,5004,3314955,T26,5004,2045,0,0,0,0,0,0
44,5005,1090317,T27,5005,2045,16,120,0,13,96,0
44,5006,2026649,T27,5006,2045,31,0,0,25,0,0
44,5007,1887428,T27,5007,2045,115,0,0,92,0,0
44,5011,3455346,T26,5011,2045,173,643,0,138,514,0
44,5012,3949647,T26,5012,2045,176,189,0,141,151,0
44,5013,5582419,T26,5013,2045,231,0,0,185,0,0
44,5014,3830043,T26,5014,2045,228,2,0,182,2,0
44,5015,2115194,T27,5015,2045,146,0,0,117,0,0
